0,445711400,9038300,7572400,7266000,7116400
1,8674600,7365100,8023900,7495600,8348500
2,9446600,7371300,7516400,7169800,7169600
3,8839000,7349400,7635500,7346600,6915000
4,8633900,7906500,7556500,6851600,6899800
5,8858800,7458200,7577700,7078100,7496700
6,9072900,7261000,7391900,7043300,7111100
7,8967700,7315600,7395900,7305100,6992700
8,8844600,7242200,7437700,6987300,7150500
9,8682300,7451200,7755300,7052000,7242900
10,8966900,7348600,7600700,7281600,7070500
11,8959200,7373700,7499200,7200600,7338500
12,8764700,7410700,7421500,7196800,7028300
13,8698300,7366600,7623700,7066000,7026800
14,8714900,7276800,7402500,6935100,6750900
15,8661000,7048800,7245400,6919000,7008800
16,8692400,7211700,8087600,8080300,7637500
17,9713900,7705100,7695100,7368600,6827900
18,8249000,6753900,7334100,6660800,7012700
19,8649000,7228200,7080200,6779800,6756000
20,8579100,6941400,7041000,6710600,6596300
21,8172200,6921300,7134500,6660500,6708000
22,8225000,6921200,7132900,6853900,6772000
23,8695500,7257900,7444300,7023300,6960300
24,8781400,6928200,7354000,7542400,6694300
25,8414300,7124100,7231200,6669900,6715200
26,8332000,7116700,7111200,6848500,6632500
27,8435700,7020000,7242300,6744300,7111300
28,8705000,7866500,7902000,7785600,7160500
29,9047000,7685400,8190500,7355500,7223400
